system:index,CUENCA,FID_CUENCA,HECTARES,SUBCUENCA,VERTIENTE,mean,month,precip_mm,year
56_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,227.5977443045674,9.0,227.5977443045674,2004.0
56_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,212.97240934942047,9.0,212.97240934942047,2004.0
56_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,164.19489040794753,9.0,164.19489040794753,2004.0
57_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,198.611870869736,10.0,198.611870869736,2004.0
57_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,229.3542692298397,10.0,229.3542692298397,2004.0
57_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,254.3476817914344,10.0,254.3476817914344,2004.0
58_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,157.4984655370273,11.0,157.4984655370273,2004.0
58_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,137.7805555178996,11.0,137.7805555178996,2004.0
58_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,272.5378988020896,11.0,272.5378988020896,2004.0
59_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,47.58601197833184,12.0,47.58601197833184,2004.0
59_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,27.251379712934497,12.0,27.251379712934497,2004.0
59_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,105.52283096390164,12.0,105.52283096390164,2004.0
60_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,87.51648967609731,1.0,87.51648967609731,2005.0
60_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,43.88476068554141,1.0,43.88476068554141,2005.0
60_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,113.17300840400286,1.0,113.17300840400286,2005.0
61_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,29.401931002736656,2.0,29.401931002736656,2005.0
61_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,18.66914585359621,2.0,18.66914585359621,2005.0
